mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
21.104181349277496,6.1829081879646255,2.5042837858200073,0.9540177952130963,balanced,3,sqrt,5,5,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 5}",0.11480114801148011,0.13203223183263105,0.12013262394941784,0.12399697199091597,0.12274074394611124,0.0062799149987930025,168
23.20490539073944,2.41036986800498,2.6098586320877075,1.1796275448913702,balanced,3,sqrt,5,10,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 10}",0.1371752624722201,0.15546251678647602,0.13859326238297193,0.1494214321650176,0.1451631184516714,0.007602297245769397,139
26.95450496673584,5.064164660932575,2.1074727177619934,1.2631408357838616,balanced,3,sqrt,5,20,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 20}",0.1509268975166142,0.17784934693147253,0.15922619047619047,0.17724818469558742,0.16631265490496616,0.011614867446828128,86
52.41871386766434,3.3461742841382143,3.2687204480171204,0.9680375423517847,balanced,3,sqrt,5,50,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 50}",0.17067307692307693,0.18928402086296822,0.17469247639935157,0.19527338273583017,0.18248073923030672,0.010124404870390326,54
92.68786388635635,4.249139233474587,4.227969467639923,0.9037209440285563,balanced,3,sqrt,5,100,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",0.18478474542952625,0.20643485211830537,0.1863749378418697,0.20572136734483115,0.19582897568363314,0.01026764190485455,45
107.60475897789001,6.021372890049379,3.341509699821472,1.7103134384619674,balanced,3,sqrt,5,150,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 150}",0.19231165618880758,0.21033942558746735,0.19134163773739024,0.2200483622774236,0.2035102704477722,0.012182266052024875,37
26.185580253601074,3.9747236789868814,2.5813004970550537,1.1530085270275587,balanced,3,sqrt,10,5,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 5}",0.11480114801148011,0.13203223183263105,0.12013262394941784,0.12399697199091597,0.12274074394611124,0.0062799149987930025,168
26.31637614965439,4.145203917735287,3.303824543952942,1.2056882370332134,balanced,3,sqrt,10,10,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 10}",0.1371752624722201,0.15546251678647602,0.13859326238297193,0.1494214321650176,0.1451631184516714,0.007602297245769397,139
32.39984619617462,5.883773113964882,3.588022470474243,1.234677168626264,balanced,3,sqrt,10,20,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 20}",0.1509268975166142,0.17784934693147253,0.15922619047619047,0.17724818469558742,0.16631265490496616,0.011614867446828128,86
66.50555211305618,4.578936461009071,3.1407339572906494,0.6530567369360109,balanced,3,sqrt,10,50,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 50}",0.17067307692307693,0.1893199279142559,0.17469247639935157,0.19527338273583017,0.18248971599312863,0.010130447108476992,53
88.01449674367905,4.875177406960354,3.7475576400756836,1.4362409911788092,balanced,3,sqrt,10,100,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",0.18478474542952625,0.20643485211830537,0.1861205010936568,0.20576386736907346,0.1957759915026405,0.010336887336441895,46
123.26459795236588,7.475203414146251,4.1837198138237,1.227739658559735,balanced,3,sqrt,10,150,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 150}",0.19231165618880758,0.21036139544599958,0.19109840751327073,0.2200483622774236,0.20345495535637537,0.012246402113436326,38
